date,AQI,PM10,NO2,SO2,O3,Temperature,Humidity,Precipitation,month,log_PM2.5,log_CO,season_Spring,season_Summer,season_Winter,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,AQI_t+1,AQI_t+2,AQI_t+3,AQI_lag_1,AQI_lag_2,AQI_roll_mean_3,AQI_roll_std_3,AQI_diff
2023-06-29,63.333333333333336,38.891666666666666,6.191666666666666,3.7875,51.66666666666666,31.09166666666667,73.33333333333333,0.0,6,2.77856043932429,5.0081321638781375,False,True,False,False,False,True,False,False,False,56.958333333333336,69.91666666666667,79.20833333333333,74.75,72.58333333333333,72.15277777777777,2.837109411846398,2.1666666666666714
2023-06-30,56.958333333333336,45.69166666666666,5.841666666666666,3.5,49.958333333333336,30.808333333333334,73.29166666666667,0.0,6,2.9291917497457467,5.002827111648444,False,True,False,False,False,False,True,False,False,69.91666666666667,79.20833333333333,77.83333333333333,63.333333333333336,74.75,70.22222222222221,6.063514138160765,-11.416666666666664
2023-07-01,69.91666666666667,72.8125,6.491666666666667,4.016666666666667,50.5,30.854166666666668,74.41666666666667,0.0,7,3.2505359775960696,5.023057814094813,False,True,False,False,False,False,False,True,False,79.20833333333333,77.83333333333333,80.83333333333333,56.958333333333336,63.333333333333336,65.01388888888889,9.014102890798146,-6.375
2023-07-02,79.20833333333333,94.50416666666666,7.875,5.291666666666667,58.458333333333336,30.77083333333333,75.83333333333333,0.0,7,3.2809112157876537,5.113492679535963,False,True,False,False,False,False,False,False,True,77.83333333333333,80.83333333333333,81.20833333333333,69.91666666666667,56.958333333333336,63.40277777777778,6.479445778194418,12.958333333333336
2023-07-03,77.83333333333333,114.375,8.145833333333334,5.541666666666667,55.875,30.725,77.58333333333333,0.0,7,3.2588974992176865,5.056245805348308,False,True,False,False,False,False,False,False,False,80.83333333333333,81.20833333333333,87.33333333333333,79.20833333333333,69.91666666666667,68.69444444444444,11.175240282443212,9.291666666666657
2023-07-04,80.83333333333333,107.65416666666664,6.6375,4.908333333333333,57.208333333333336,30.6125,73.75,0.0,7,3.2919713799387513,5.05783689558055,False,True,False,True,False,False,False,False,False,81.20833333333333,87.33333333333333,96.16666666666669,77.83333333333333,79.20833333333333,75.65277777777779,5.014966027724749,-1.375
2023-07-05,81.20833333333333,101.9125,5.9750000000000005,4.316666666666666,64.54166666666667,30.879166666666663,72.0,0.0,7,3.3462424207886414,5.001986893142215,False,True,False,False,True,False,False,False,False,87.33333333333333,96.16666666666669,103.0,80.83333333333333,77.83333333333333,79.29166666666667,1.5017351075702579,3.0
2023-07-06,87.33333333333333,127.74166666666665,8.854166666666666,6.308333333333334,68.91666666666667,30.829166666666666,73.79166666666667,0.0,7,3.5707057171437335,5.204006687076795,False,True,False,False,False,True,False,False,False,96.16666666666669,103.0,127.25,81.20833333333333,80.83333333333333,79.95833333333333,1.849831073362107,0.375
2023-07-07,96.16666666666669,127.74166666666665,10.195833333333333,6.241666666666667,62.41666666666666,31.675,73.41666666666667,0.0,7,3.4854619340252473,5.256626939493827,False,True,False,False,False,False,True,False,False,103.0,127.25,117.83333333333331,87.33333333333333,81.20833333333333,83.125,3.6493435482714798,6.125
2023-07-08,103.0,127.74166666666665,11.008333333333333,5.716666666666666,61.91666666666666,31.325,73.41666666666667,0.0,7,3.6876286722122837,5.271716684750857,False,True,False,False,False,False,False,True,False,127.25,117.83333333333331,87.16666666666667,96.16666666666669,87.33333333333333,88.23611111111113,7.519919535127654,8.833333333333357
2023-07-09,127.25,127.74166666666665,9.320833333333333,5.5,63.333333333333336,31.004166666666663,74.25,0.0,7,3.626449818823717,5.175443268397502,False,True,False,False,False,False,False,False,True,117.83333333333331,87.16666666666667,86.58333333333333,103.0,96.16666666666669,95.5,7.854581111964342,6.833333333333314
2023-07-10,117.83333333333331,127.74166666666665,6.704166666666667,4.4750000000000005,58.208333333333336,30.9875,67.25,0.0,7,3.410046996939138,4.977595440018056,False,True,False,False,False,False,False,False,False,87.16666666666667,86.58333333333333,82.95833333333333,127.25,103.0,108.80555555555556,16.33467964972827,24.25
2023-07-11,87.16666666666667,113.32916666666668,6.391666666666667,4.1875,58.875,31.3,64.375,0.0,7,3.422768596590273,5.0081321638781375,False,True,False,True,False,False,False,False,False,86.58333333333333,82.95833333333333,83.29166666666667,117.83333333333331,127.25,116.02777777777777,12.225409937835982,-9.416666666666686
2023-07-12,86.58333333333333,116.82916666666668,5.8875,3.8666666666666663,56.625,31.10833333333333,65.125,0.0,7,3.369878698404728,4.949055354998429,False,True,False,False,True,False,False,False,False,82.95833333333333,83.29166666666667,83.66666666666667,87.16666666666667,117.83333333333331,110.75,20.95945159375835,-30.666666666666643
2023-07-13,82.95833333333333,121.05833333333334,5.7875000000000005,3.85,57.25,31.03333333333333,67.25,0.0,7,3.291041435668386,4.907124917726591,False,True,False,False,False,True,False,False,False,83.29166666666667,83.66666666666667,91.58333333333331,86.58333333333333,87.16666666666667,97.19444444444444,17.876181649623973,-0.5833333333333428
2023-07-14,83.29166666666667,109.4125,5.591666666666666,3.9125,54.75,30.866666666666664,67.20833333333333,0.0,7,3.3935291670219763,4.883433036523381,False,True,False,False,False,False,True,False,False,83.66666666666667,91.58333333333331,93.625,82.95833333333333,86.58333333333333,85.56944444444446,2.2800209144541883,-3.625
2023-07-15,83.66666666666667,89.37916666666666,5.6125,3.6375,51.458333333333336,30.504166666666663,68.54166666666667,0.0,7,3.3590724553614844,4.854306317576555,False,True,False,False,False,False,False,True,False,91.58333333333331,93.625,82.75,83.29166666666667,82.95833333333333,84.27777777777777,2.003613633555689,0.3333333333333428
